owner,pet_name,care
dviccars0,"Hornbill, red-billed",condition 3
dviccars0,"Hornbill, red-billed",condition 1
nquiddihyc,Amazon parrot (unidentified),condition 5
rlongmuire,Purple grenadier,condition 4
rlongmuire,Purple grenadier,condition 3
bmcgrottym,"Hare, arctic",condition 1
rlongmuire,"Bandicoot, southern brown",condition 1
imichelottij,"Gull, pacific",condition 5
hboysd,Mexican boa,condition 5
hboysd,Mexican boa,condition 4
sdobinson3,Desert kangaroo rat,condition 2
sdobinson3,Desert kangaroo rat,condition 5
